"","Dataset","Model","Feature","Feature_Value","group_size","Feature_EN","Feature_Value_EN","stage","Metric","Value"
"1","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","TN",19.4444444444444
"2","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","FP",28.4722222222222
"3","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","FN",17.3611111111111
"4","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","TP",34.7222222222222
"5","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","TOTAL",100
"6","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","ACT_N",47.9166666666667
"7","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","ACT_P",52.0833333333333
"8","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","PRED_P",63.1944444444444
"9","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","PRED_N",36.8055555555556
"10","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","FPR",59.4202898550725
"11","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","PPV",54.945054945055
"12","Pilot","BR","geslacht","M",144,"gender","M","Pilot/BR","ERROR",45.8333333333333
"13","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","TN",16.40625
"14","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","FP",39.84375
"15","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","FN",14.0625
"16","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","TP",29.6875
"17","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","TOTAL",100
"18","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","ACT_N",56.25
"19","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","ACT_P",43.75
"20","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","PRED_P",69.53125
"21","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","PRED_N",30.46875
"22","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","FPR",70.8333333333333
"23","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","PPV",42.6966292134831
"24","Pilot","BR","geslacht","V",128,"gender","F","Pilot/BR","ERROR",53.90625
"25","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","TN",NA
"26","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","FP",NA
"27","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","FN",NA
"28","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","TP",NA
"29","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","TOTAL",NA
"30","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","ACT_N",NA
"31","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","ACT_P",NA
"32","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","PRED_P",NA
"33","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","PRED_N",NA
"34","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","FPR",NA
"35","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","PPV",NA
"36","Pilot","BR","Leeftijd&lt;30","1",NA,"Age < 30","below 30","Pilot/BR","ERROR",NA
"37","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","TN",20.3389830508475
"38","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","FP",31.7796610169492
"39","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","FN",16.9491525423729
"40","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","TP",30.9322033898305
"41","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","TOTAL",100
"42","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","ACT_N",52.1186440677966
"43","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","ACT_P",47.8813559322034
"44","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","PRED_P",62.7118644067797
"45","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","PRED_N",37.2881355932203
"46","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","FPR",60.9756097560976
"47","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","PPV",49.3243243243243
"48","Pilot","BR","Leeftijd&lt;30","0",236,"Age < 30","above 30","Pilot/BR","ERROR",48.728813559322
"49","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","TN",11.1842105263158
"50","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","FP",38.1578947368421
"51","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","FN",13.1578947368421
"52","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","TP",37.5
"53","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","TOTAL",100
"54","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","ACT_N",49.3421052631579
"55","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","ACT_P",50.6578947368421
"56","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","PRED_P",75.6578947368421
"57","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","PRED_N",24.3421052631579
"58","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","FPR",77.3333333333333
"59","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","PPV",49.5652173913043
"60","Pilot","BR","Leeftijd&lt;40","1",152,"Age < 40","below 40","Pilot/BR","ERROR",51.3157894736842
"61","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TN",26.6666666666667
"62","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","FP",28.3333333333333
"63","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","FN",19.1666666666667
"64","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TP",25.8333333333333
"65","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","TOTAL",100
"66","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","ACT_N",55
"67","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","ACT_P",45
"68","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","PRED_P",54.1666666666667
"69","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","PRED_N",45.8333333333333
"70","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","FPR",51.5151515151515
"71","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","PPV",47.6923076923077
"72","Pilot","BR","Leeftijd&lt;40","0",120,"Age < 40","above 40","Pilot/BR","ERROR",47.5
